motusRecvID,recvProjectID,receiverID,recvDeployID,port,radioType,antennaType,bearing,tilt,polBearing,polTilt,heightMeters,filter,cableLengthMeters,cableType,mountDistanceMeters,mountBearing,details,elevationAngle,polarization1,polarization2,deploymentStatus
383,1,SG-5113BBBK0173,681,1,,yagi-9,65,,,,6,,6,RG58,,,,,,,terminated
383,1,SG-5113BBBK0173,681,2,,yagi-9,250,,,,5.8,,6,RG58,,,,,,,terminated
383,1,SG-5113BBBK0173,681,3,,yagi-9,160,,,,5.6,,6,RG58,,,,,,,terminated
383,1,SG-5113BBBK0173,3560,2,,yagi-9,250,,,,5.8,,6,RG58,,,,,,,deployed
383,1,SG-5113BBBK0173,3560,3,,yagi-9,160,,,,5.6,,6,RG58,,,,,,,deployed
384,1,SG-5113BBBK0324,657,1,,yagi-9,0,,,,6,,,,,,,,,,terminated
384,1,SG-5113BBBK0324,657,2,,yagi-9,240,,,,5.8,,,,,,,,,,terminated
384,1,SG-5113BBBK0324,657,3,,yagi-9,120,,,,5.6,,,,,,,,,,terminated
384,1,SG-5113BBBK0324,755,1,,yagi-9,345,,,,6,,,,,,,,,,terminated
384,1,SG-5113BBBK0324,755,2,,yagi-9,205,,,,5.8,,,,,,,,,,terminated
384,1,SG-5113BBBK0324,755,3,,yagi-9,100,,,,5.6,,,,,,,,,,terminated
384,1,SG-5113BBBK0324,2029,1,,yagi-9,345,,,,4.5,,,,,,,,,,terminated
384,1,SG-5113BBBK0324,2029,2,,yagi-9,205,,,,4.3,,,,,,,,,,terminated
384,1,SG-5113BBBK0324,2029,3,,yagi-9,100,,,,4.1,,,,,,,,,,terminated
384,1,SG-5113BBBK0324,2107,1,,yagi-9,345,,,,6,,,,,,,,,,terminated
384,1,SG-5113BBBK0324,2107,2,,yagi-9,205,,,,5.8,,,,,,,,,,terminated
384,1,SG-5113BBBK0324,2107,3,,yagi-9,100,,,,5.6,,,,,,,,,,terminated
384,1,SG-5113BBBK0324,3732,2,,yagi-9,205,,,,5.8,,,,,,,,,,deployed
384,1,SG-5113BBBK0324,3732,3,,yagi-9,100,,,,5.6,,,,,,,,,,deployed
385,1,SG-5113BBBK0333,647,1,,yagi-9,0,,,,6,,7.62,,,,,,,,terminated
385,1,SG-5113BBBK0333,647,2,,yagi-9,240,,,,5.8,,7.62,,,,,,,,terminated
385,1,SG-5113BBBK0333,647,3,,yagi-9,120,,,,5.6,,7.62,,,,,,,,terminated
385,1,SG-5113BBBK0333,764,1,,yagi-9,25,,,,6,,7.62,,,,,,,,terminated
385,1,SG-5113BBBK0333,764,2,,yagi-9,230,,,,5.8,,7.62,,,,,,,,terminated
385,1,SG-5113BBBK0333,764,3,,yagi-9,120,,,,5.6,,7.62,,,,,,,,terminated
385,1,SG-5113BBBK0333,2001,1,,yagi-9,15,,,,,,,,,,,,,,terminated
385,1,SG-5113BBBK0333,2001,2,,yagi-9,235,,,,,,,,,,,,,,terminated
385,1,SG-5113BBBK0333,2001,3,,yagi-9,130,,,,,,,,,,,,,,terminated
385,1,SG-5113BBBK0333,2163,1,,yagi-9,15,,,,6,,,,,,,,,,terminated
385,1,SG-5113BBBK0333,2163,2,,yagi-9,235,,,,5.8,,,,,,,,,,terminated
385,1,SG-5113BBBK0333,2163,3,,yagi-9,130,,,,5.6,,,,,,,,,,terminated
385,1,SG-5113BBBK0333,3760,2,,yagi-9,235,,,,5.8,,,,,,,,,,deployed
385,1,SG-5113BBBK0333,3760,3,,yagi-9,130,,,,5.6,,,,,,,,,,deployed
386,1,SG-5113BBBK0425,664,1,,yagi-9,225,,,,6,,,,,,,,,,terminated
386,1,SG-5113BBBK0425,664,3,,yagi-9,180,,,,5.6,,,,,,,,,,terminated
386,1,SG-5113BBBK0425,737,1,,yagi-9,225,,,,6,,7.62,,,,,,,,terminated
386,1,SG-5113BBBK0425,737,2,,yagi-9,270,,,,5.8,,,,,,,,,,terminated
386,1,SG-5113BBBK0425,737,3,,yagi-9,180,,,,5.6,,7.62,,,,,,,,terminated
386,1,SG-5113BBBK0425,766,1,,yagi-9,265,,,,6,,7.62,,,,,,,,terminated
386,1,SG-5113BBBK0425,766,2,,yagi-9,185,,,,5.8,,,,,,,,,,terminated
386,1,SG-5113BBBK0425,766,3,,yagi-9,80,,,,5.6,,7.62,,,,,,,,terminated
386,1,SG-5113BBBK0425,2115,1,,yagi-9,270,,,,6,,,,,,,,,,terminated
386,1,SG-5113BBBK0425,2115,2,,yagi-9,180,,,,5.8,,,,,,,,,,terminated
386,1,SG-5113BBBK0425,2115,3,,yagi-9,80,,,,5.6,,,,,,,,,,terminated
386,1,SG-5113BBBK0425,3734,1,,yagi-9,270,,,,6,,,,,,,,,,deployed
386,1,SG-5113BBBK0425,3734,3,,yagi-9,80,,,,5.6,,,,,,,,,,deployed
387,1,SG-5113BBBK0460,640,1,,yagi-9,0,,,,5.6,,7.62,,,,,,,,terminated
387,1,SG-5113BBBK0460,640,2,,yagi-9,240,,,,5.2,,7.62,,,,,,,,terminated
387,1,SG-5113BBBK0460,640,3,,yagi-9,120,,,,5,,7.62,,,,,,,,terminated
387,1,SG-5113BBBK0460,769,1,,yagi-9,0,,,,6,,7.62,,,,,,,,terminated
387,1,SG-5113BBBK0460,769,2,,yagi-9,240,,,,5.8,,7.62,,,,,,,,terminated
387,1,SG-5113BBBK0460,769,3,,yagi-9,120,,,,5.6,,7.62,,,,,,,,terminated
387,1,SG-5113BBBK0460,3694,1,,yagi-9,0,,,,6,,7.62,,,,,,,,deployed
387,1,SG-5113BBBK0460,3694,3,,yagi-9,120,,,,5.6,,7.62,,,,,,,,deployed
388,1,SG-5113BBBK0752,672,1,,yagi-9,70,,,,6,,7.62,,,,,,,,terminated
388,1,SG-5113BBBK0752,672,2,,yagi-9,295,,,,5.8,,7.62,,,,,,,,terminated
388,1,SG-5113BBBK0752,672,3,,yagi-9,160,,,,5.6,,7.62,,,,,,,,terminated
388,1,SG-5113BBBK0752,2017,1,,yagi-9,70,,,,,,,,,,,,,,terminated
388,1,SG-5113BBBK0752,2017,2,,yagi-9,295,,,,,,,,,,,,,,terminated
388,1,SG-5113BBBK0752,2017,3,,yagi-9,160,,,,,,,,,,,,,,terminated
388,1,SG-5113BBBK0752,2116,1,,yagi-9,70,,,,6,,,,,,,,,,terminated
388,1,SG-5113BBBK0752,2116,2,,yagi-9,295,,,,5.8,,,,,,,,,,terminated
388,1,SG-5113BBBK0752,2116,3,,yagi-9,160,,,,5.6,,,,,,,,,,terminated
388,1,SG-5113BBBK0752,3750,1,,yagi-9,70,,,,6,,,,,,,,,,deployed
388,1,SG-5113BBBK0752,3750,2,,yagi-9,295,,,,5.8,,,,,,,,,,deployed
389,1,SG-5113BBBK2024,674,1,,yagi-9,190,,,,6,,7.62,,,,,,,,terminated
389,1,SG-5113BBBK2024,674,2,,yagi-9,270,,,,5.8,,7.62,,,,,,,,terminated
389,1,SG-5113BBBK2024,674,3,,yagi-9,90,,,,5.6,,7.62,,,,,,,,terminated
389,1,SG-5113BBBK2024,1122,1,,yagi-9,190,,,,6,,,,,,,,,,terminated
389,1,SG-5113BBBK2024,1122,2,,yagi-9,270,,,,5.8,,,,,,,,,,terminated
389,1,SG-5113BBBK2024,1122,3,,yagi-9,90,,,,5.6,,,,,,,,,,terminated
389,1,SG-5113BBBK2024,1995,1,,yagi-9,190,,,,,,,,,,,,,,terminated
389,1,SG-5113BBBK2024,1995,2,,yagi-9,270,,,,,,,,,,,,,,terminated
389,1,SG-5113BBBK2024,1995,3,,yagi-9,90,,,,,,,,,,,,,,terminated
389,1,SG-5113BBBK2024,2117,1,,yagi-9,190,,,,6,,,,,,,,,,terminated
389,1,SG-5113BBBK2024,2117,2,,yagi-9,270,,,,5.8,,,,,,,,,,terminated
389,1,SG-5113BBBK2024,2117,3,,yagi-9,90,,,,5.6,,,,,,,,,,terminated
389,1,SG-5113BBBK2024,3758,2,,yagi-9,270,,,,5.8,,,,,,,,,,deployed
389,1,SG-5113BBBK2024,3758,3,,yagi-9,90,,,,5.6,,,,,,,,,,deployed
390,1,SG-5113BBBK2495,660,1,,yagi-9,0,,,,6,,7.62,,,,,,,,terminated
390,1,SG-5113BBBK2495,660,2,,yagi-9,270,,,,5.8,,7.62,,,,,,,,terminated
390,1,SG-5113BBBK2495,660,3,,yagi-9,160,,,,5.6,,7.62,,,,,,,,terminated
390,1,SG-5113BBBK2495,2025,1,,yagi-9,0,,,,4.5,,7.62,,,,,,,,terminated
390,1,SG-5113BBBK2495,2025,2,,yagi-9,270,,,,4.3,,7.62,,,,,,,,terminated
390,1,SG-5113BBBK2495,2025,3,,yagi-9,160,,,,4.1,,7.62,,,,,,,,terminated
390,1,SG-5113BBBK2495,2118,1,,yagi-9,0,,,,6,,,,,,,,,,terminated
390,1,SG-5113BBBK2495,2118,2,,yagi-9,270,,,,5.8,,,,,,,,,,terminated
390,1,SG-5113BBBK2495,2118,3,,yagi-9,160,,,,5.6,,,,,,,,,,terminated
390,1,SG-5113BBBK2495,3756,1,,yagi-9,0,,,,6,,,,,,,,,,deployed
390,1,SG-5113BBBK2495,3756,3,,yagi-9,160,,,,5.6,,,,,,,,,,deployed
391,1,SG-5113BBBK2661,667,1,,yagi-9,355,,,,6,,7.62,,,,,,,,terminated
