"","hitID","ts","sig","sigSD","noise","freq","freqSD","slop","burstSlop","batchID","motusDeviceID","receiverID","motusRecvID","recvProjectID","recvDeployID","runID","runLen","ant","motusTagID","ambigID","mfgID","dateBin","tagProjectID","tagDeployID","gpsLat","gpsLon","gpsAlt","gpsTs"
"8",16239,1445858389.9062,52,0,-96,4,0,7e-05,0,2,486,"LOTEK-159",1403,74,2510,2188,5,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"9",16240,1445858428.6925,54,0,-96,4,0,7e-05,-0.002088,2,486,"LOTEK-159",1403,74,2510,2188,5,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"10",16241,1445858477.1781,55,0,-96,4,0,7e-05,0.000111,2,486,"LOTEK-159",1403,74,2510,2188,5,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"11",16242,1445858515.9655,52,0,-96,4,0,7e-05,-0.00099,2,486,"LOTEK-159",1403,74,2510,2188,5,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"12",16243,1445858564.4511,49,0,-96,4,0,7e-05,0.000111,2,486,"LOTEK-159",1403,74,2510,2188,5,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"239",277031,1445862843.2572,52,0,-96,4,0,7e-05,0,4,514,"LOTEK-161",1400,74,2504,15503,10,4,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"240",277032,1445862891.74,61,0,-96,4,0,7e-05,-0.002689,4,514,"LOTEK-161",1400,74,2504,15503,10,4,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"241",277033,1445862901.4392,64,0,-96,4,0,7e-05,0.00211,4,514,"LOTEK-161",1400,74,2504,15503,10,4,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"242",277034,1445862949.922,76,0,-96,4,0,7e-05,-0.002689,4,514,"LOTEK-161",1400,74,2504,15503,10,4,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"243",277035,1445863008.1068,82,0,-96,4,0,7e-05,0.002211,4,514,"LOTEK-161",1400,74,2504,15503,10,4,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"244",277036,1445863066.2889,81,0,-96,4,0,7e-05,-0.00049,4,514,"LOTEK-161",1400,74,2504,15503,10,4,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"245",277037,1445863124.4709,81,0,-96,4,0,7e-05,-0.000589,4,514,"LOTEK-161",1400,74,2504,15503,10,4,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"246",277038,1445862940.2255,50,0,-96,4,0,7e-05,0,4,514,"LOTEK-161",1400,74,2504,15504,6,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"247",277039,1445862998.4076,59,0,-96,4,0,7e-05,-0.00049,4,514,"LOTEK-161",1400,74,2504,15504,6,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"248",277040,1445863056.5896,58,0,-96,4,0,7e-05,-0.000589,4,514,"LOTEK-161",1400,74,2504,15504,6,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"249",277041,1445863105.0752,61,0,-96,4,0,7e-05,0.000111,4,514,"LOTEK-161",1400,74,2504,15504,6,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"250",277042,1445863163.2612,48,0,-96,4,0,7e-05,0.003413,4,514,"LOTEK-161",1400,74,2504,15504,6,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"251",277043,1445863172.9576,66,0,-96,4,0,7e-05,0.001213,4,514,"LOTEK-161",1400,74,2504,15503,10,4,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"252",277044,1445863221.4432,48,0,-96,4,0,7e-05,-0.000589,4,514,"LOTEK-161",1400,74,2504,15504,6,3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"253",277045,1445863231.1385,62,0,-96,4,0,7e-05,-0.001688,4,514,"LOTEK-161",1400,74,2504,15503,10,4,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
"254",277046,1445862959.6212,60,0,-96,4,0,7e-05,0,4,514,"LOTEK-161",1400,74,2504,15505,6,-3,16047,NA,378,"2015-3",38,1839,NA,NA,NA,NA
